Dept,Category,Budget Item,FY24 Actual,FY25 Actual,FY25 Requested,FY26 Dept Submission,FY26 Proposed,$ Change,% Change
Moderator,GENERAL GOVERNMENT,Stipend,$100,$100,$100,$100,$100,$0,0%
Select Board,GENERAL GOVERNMENT,Executive Assistant,"$28,111","$28,673","$28,673","$36,870","$31,894","$3,221",11%
Select Board,GENERAL GOVERNMENT,Expenses,$800,$800,$800,$800,$800,$0,0%
Select Board,GENERAL GOVERNMENT,Binding of Records,$250,$0,$0,$0,$0,$0,0%
Select Board,GENERAL GOVERNMENT,Advertising,"$1,500","$1,500","$1,500","$1,500",$500,"$-1,000",-67%
Select Board,GENERAL GOVERNMENT,Legal,"$40,000","$40,000","$40,000","$40,000","$40,000",$0,0%
Select Board,GENERAL GOVERNMENT,Town Clock Maint.,"$1,000",$0,$0,$0,$0,$0,0%
Select Board,GENERAL GOVERNMENT,Postage,"$1,000","$1,000","$1,000","$1,000","$4,000","$3,000",300%
Select Board,GENERAL GOVERNMENT,Office Supplies,"$2,500","$2,500","$2,500","$2,500","$1,500","$-1,000",-40%
Select Board,GENERAL GOVERNMENT,Town Report,$500,$500,$500,$500,$500,$0,0%
Select Board,GENERAL GOVERNMENT,Memorial Day,"$1,500","$1,500","$1,500","$3,000","$1,500",$0,0%
Town Admin,GENERAL GOVERNMENT,Salary,"$110,000","$112,200","$112,200","$112,200","$115,566","$3,366",3%
Town Admin,GENERAL GOVERNMENT,Cell Phone Stipend,$600,$600,$600,$600,$600,$0,0%
Town Admin,GENERAL GOVERNMENT,Expenses,"$6,600","$6,600","$7,600","$8,000","$6,600",$0,0%
Finance Committee,GENERAL GOVERNMENT,FC Expenses,$200,$200,$200,$200,$200,$0,0%
Finance Committee,GENERAL GOVERNMENT,FC Reserve Fund,"$30,000","$30,000","$30,000","$30,000","$30,000",$0,0%
Accountant,GENERAL GOVERNMENT,Accountant Services,"$23,500","$23,970","$23,970","$24,929","$24,449",$479,2%
Accountant,GENERAL GOVERNMENT,Annual Audit,"$19,500","$19,500","$19,500","$19,500","$19,500",$0,0%
Accountant,GENERAL GOVERNMENT,Accountant Expense,$300,$300,$500,$800,$800,$500,167%
Accountant,GENERAL GOVERNMENT,Travel,"$1,500",$0,"$1,500",$0,$0,$0,0%
Assessor,GENERAL GOVERNMENT,Expenses (association dues),$275,$275,$275,$275,$275,$0,0%
Assessor,GENERAL GOVERNMENT,Assessing Services,"$73,500","$75,000","$75,000","$79,380","$77,500","$2,500",3%
Assessor,GENERAL GOVERNMENT,Assistant,"$10,000","$12,000","$20,000","$12,000","$12,000",$0,0%
Treasurer Collector,GENERAL GOVERNMENT,Salary,"$65,000","$66,300","$66,300","$68,952","$70,112","$3,812",6%
Treasurer Collector,GENERAL GOVERNMENT,Certification,"$1,000","$1,000","$1,000","$1,000","$1,000",$0,0%
Treasurer Collector,GENERAL GOVERNMENT,Assistant Treasurer Collector,"$42,204","$43,048","$43,048","$44,770","$43,909",$861,2%
Treasurer Collector,GENERAL GOVERNMENT,Expenses (Dues and Workshops),$870,"$1,300","$13,000","$1,300","$1,300",$0,0%
Treasurer Collector,GENERAL GOVERNMENT,Payroll Services,"$3,500","$3,500","$3,500","$4,500","$3,500",$0,0%
Treasurer Collector,GENERAL GOVERNMENT,Expenses (Veri and Bank Fees),"$4,800","$4,800","$4,800","$4,800","$4,800",$0,0%
