Dept,Category,Budget Item,FY24 Actual,FY25 Actual,FY25 Requested,FY26 Dept Submission,FY26 Proposed,$ Change,% Change
Moderator,GENERAL GOVERNMENT,Stipend,$100,$100,$100,$100,$100,$0,0%
,,,,,,,,,
,,,,,,,,,
Select Board,,Executive Assistant,"$28,111","$28,673","$28,673","$36,870","$31,894","$3,221",11%
,,Expenses,$800,$800,$800,$800,$800,$0,0%
,,Binding of Records,$250,$0,$0,$0,$0,$0,0%
,,Advertising,"$1,500","$1,500","$1,500","$1,500",$500,"$-1,000",-67%
,,Legal,"$40,000","$40,000","$40,000","$40,000","$40,000",$0,0%
,,Town Clock Maint.,"$1,000",$0,$0,$0,$0,$0,0%
,,Postage,"$1,000","$1,000","$1,000","$1,000","$4,000","$3,000",300%
,,Office Supplies,"$2,500","$2,500","$2,500","$2,500","$1,500","$-1,000",-40%
,,Town Report,$500,$500,$500,$500,$500,$0,0%
,,Memorial Day,"$1,500","$1,500","$1,500","$3,000","$1,500",$0,0%
,,,,,,,,,
,,,,,,,,,
Town Admin,,Salary,"$110,000","$112,200","$112,200","$112,200","$115,566","$3,366",3%
,,Cell Phone Stipend,$600,$600,$600,$600,$600,$0,0%
,,Expenses,"$6,600","$6,600","$7,600","$8,000","$6,600",$0,0%
,,,,,,,,,
Finance Committee,,FC Expenses,$200,$200,$200,$200,$200,$0,0%
,,,,,,,,,
,,FC Reserve Fund,"$30,000","$30,000","$30,000","$30,000","$30,000",$0,0%
,,,,,,,,,
Accountant,,Accountant Services,"$23,500","$23,970","$23,970","$24,929","$24,449",$479,2%
,,,,,,,,,
,,Annual Audit,"$19,500","$19,500","$19,500","$19,500","$19,500",$0,0%
,,Accountant Expense,$300,$300,$500,$800,$800,$500,167%
,,Travel,"$1,500",$0,"$1,500",$0,$0,$0,0%
,,,,,,,,,
,,,,,,,,,
Assessor,,Expenses (association dues),$275,$275,$275,$275,$275,$0,0%
,,Assessing Services,"$73,500","$75,000","$75,000","$79,380","$77,500","$2,500",3%
,,Assistant,"$10,000","$12,000","$20,000","$12,000","$12,000",$0,0%
,,,,,,,,,
,,,,,,,,,
Treasurer Collector,,Salary,"$65,000","$66,300","$66,300","$68,952","$70,112","$3,812",6%
,,Certification,"$1,000","$1,000","$1,000","$1,000","$1,000",$0,0%
,,Assistant Treasurer Collector,"$42,204","$43,048","$43,048","$44,770","$43,909",$861,2%
,,Expenses (Dues and Workshops),$870,"$1,300","$13,000","$1,300","$1,300",$0,0%
,,Payroll Services,"$3,500","$3,500","$3,500","$4,500","$3,500",$0,0%
,,Expenses (Veri and Bank Fees),"$4,800","$4,800","$4,800","$4,800","$4,800",$0,0%
,,Expenses (Postage and Supplies),"$7,300","$7,450","$7,450","$7,450","$5,450","$-2,000",-27%
,,Tax Title,"$2,000","$1,000","$2,000","$2,000","$1,000",$0,0%
,,,,,,,,,
Information Technology,,IT Maintenance,"$70,000","$78,000","$80,000","$85,000","$85,000","$7,000",9%
,,,,,,,,,
,,Copier,"$3,000","$3,000","$3,000","$3,000","$3,000",$0,0%
,,Website,"$3,000","$3,000","$3,000","$3,000","$3,000",$0,0%
,,,,,,,,,
,,,,,,,,,
Town Clerk,,Town Cerk Salary,"$47,500","$55,500","$60,000","$57,720","$57,720","$2,220",4%
,,Election Wages,"$3,375","$4,000","$4,000","$8,000","$4,000",$0,0%
,,Expenses (Conf Dues Mileage),$870,"$1,200","$1,200","$1,200","$1,200",$0,0%
,,Expenses (Binding Safe Deposit),$750,$750,$750,"$2,795","$1,750","$1,000",133%
,,Supplies,"$9,500","$9,500","$9,500","$9,500","$7,500","$-2,000",-21%
,,,,,,,,,
,,,,,,,,,
Building & Maintenance,,Custodian,"$10,140","$10,343","$10,140","$17,357","$16,861","$6,518",63%
,,Utiities and Maintenance,"$31,000","$31,000","$31,000","$41,000","$40,000","$9,000",29%
,,,,,,,,,
,,Phone,"$6,500","$6,500","$6,500","$5,500","$5,500","$-1,000",-15%
Total,,,"$669,598","$688,408","$718,106","$742,797","$724,886","$36,478",5%
