DOR Code,Municipality,Fiscal Year,Single-Family Values,Single-Family Parcels,Average Single-Family Value,Single-Family Tax Bill,Single-Family Tax Bill as % of Value,DOR Income Per Capita,Average Tax Bill as a % of Income,Rank
021,Barre,2025,554255931,1543,359207,4882,1.36,32869,14.85,274
021,Barre,2024,529255631,1539,343896,4808,1.4,30154,15.94,268
021,Barre,2023,431836431,1535,281327,4462,1.59,28157,15.85,280
021,Barre,2022,386507631,1521,254114,4279,1.68,27000,15.85,272
021,Barre,2021,342521831,1515,226087,4070,1.8,25248,16.12,258
021,Barre,2020,330491700,1507,219304,3919,1.79,25301,15.49,261
140,Hubbardston,2025,605898200,1470,412176,4814,1.17,44903,10.72,282
140,Hubbardston,2024,589928639,1463,403232,4754,1.18,40903,11.62,270
140,Hubbardston,2023,515361490,1452,354932,4625,1.3,38753,11.93,264
140,Hubbardston,2022,449242729,1425,315258,4414,1.4,35039,12.6,266
140,Hubbardston,2021,408309326,1425,286533,4244,1.48,32114,13.22,246
