Category,Account,FY23 ($),FY24 ($),FY25 ($),FY26 Proposed ($),Explanation,% Collected as of 2/28/25
Tax Revenue,Tax Levy,,8425343.00,8770191.58,Based on corrected Prop 2.5% calculation,74.50%
Tax Revenue,Prop 2.5%,,,210633.58,219254.79,Adjusted for corrected 2.5% increase calculation,100.00%
Tax Revenue,New Growth / Amended NG,,,134215.00,125000.00,Projected at 90% due to no collections yet,0.00%
Tax Revenue,Debt Exclusions (School Roof),,,82377.00,82377.00,Fixed debt amount for school roof,0.00%
Tax Revenue,Subtotal,8052778,8425343,8852569,9196823,Subtotal of Tax Levy items,74.20%
State Aid,Unrestricted General Government Aid,521806.00,530155.00,554659.00,579659.00,H1,66.00%
State Aid,Abatements to Veterans' and Blind,29038.00,24861.00,25706.00,26477.18,H1,196.00%
State Aid,State Owned Land,101466.00,115957.00,118741.00,122303.23,H1,68.00%
State Aid,Veterans' Benefits and Exemptions,6428.00,365.00,-,-,H1,
State Aid,Offsets (Library),9936.00,11114.00,12765.00,13147.95,H1,57.00%
State Aid,Subtotal,,682452.00,711871.00,741587.36,Subtotal of State Aid,71.00%
Local Receipts,MotorVehicle,647660.00,716352.00,727600.00,763980.00,Strong motor vehicle revenue in Q2,43.00%
Local Receipts,Interest&Penalties (Property Tax),20500.00,21115.00,21115.00,21960.00,Stable projection based on past trends,45.00%
Local Receipts,Interest&Penalties (Excise Tax),5100.00,5200.00,6000.00,6000.00,Consistent revenue patterns,61.00%
Local Receipts,Watershed Division Trust PILOT,380387.00,391798.61,405000.00,417150.00,PILOT adjusted for new assessment values,100.00%
Local Receipts,PILOT (Not from Cherry Sheet),5000.00,10000.00,10000.00,10000.00,Stable PILOT revenue pattern,100.00%
Local Receipts,Ambulance Revenue,150000.00,185390.00,165000.00,200000.00,Increased due to strong Q2 reporting,80.00%
Local Receipts,Collector Receipts,31000.00,34697.00,35000.00,36050.00,Slight increase based on trends,35.00%
Local Receipts,Treasurer Fees,100.00,100.00,100.00,100.00,Consistent projection for Treasurer fees,25.00%
Licenses & Fees,Tax Liens Fees,13000.00,7345.00,14000.00,14000.00,Level projection based on past patterns,19.00%
Licenses & Fees,Police Fees,10000.00,10151.00,10250.00,20000.00,Increased due to policy change impacting LTC,245.00%
Licenses & Fees,Fire Fees,6200.00,4945.00,6355.00,6545.00,Minor increase based on past collection trends,54.00%
Licenses & Fees,Highway Fees,1500.00,750.00,1538.00,1584.00,Minor increase in scheduled fees,15.00%
Licenses & Fees,Board of Health Fees,7500.00,12323.50,10000.00,12000.00,Level projection based on consistent trends,26.00%
Licenses & Fees,Assessor Fees,125.00,33.00,128.00,128.00,Stable Clerk revenue trend,20.00%
Licenses & Fees,Clerk Fees,4200.00,1845.00,4305.00,4434.00,Adjusted for updated Clerk fee schedule,20.00%
Licenses & Fees,Alcoholic Beverage Licence,3200.00,3365.00,3280.00,4000.00,Stable alcohol licensing revenue,0.00%
Permits,Dog Licences,5500.00,7790.00,6500.00,6500.00,Steady licensing demand in FY25,42.00%
Permits,Misc. Licenses,510.00,150.00,560.00,560.00,Stable miscellaneous licensing fees,606.00%
Permits,Building Permits,47750.00,27253.00,50000.00,45000.00,Conservative estimate based on trends,29.00%
Permits,Gas Permits,1000.00,1377.00,1025.00,1056.00,Adjusted to align with updated fee projections,0.00%
Other Revenues,Wiring Permits,4000.00,7344.00,7000.00,7000.00,Level projection for wiring permits,55.00%
Other Revenues,Plumbing Permits,1000.00,1124.35,1025.00,1025.00,Stable projection for plumbing fees,62.00%
Other Revenues,RMV Court Fees,1580.00,1775.00,1620.00,1620.00,Level projection based on RMV trends,40.00%
Other Revenues,Registry Fees,2500.00,1235.00,2563.00,2640.00,Registry fee increase based on collection growth,84.00%
Other Revenues,Earnings on Investment,4080.00,18000.00,10000.00,25000.00,Higher interest earnings based on market trends,136.00%
Other Revenues,Misc. Revenue,11000.00,7228.72,18000.00,54000.00,Settlement revenue boosted by new agreements,77.00%
Local Receipts,Subtotal,1364392,1478687,1517964,1662332.00,,
GRAND TOTAL,Tax,8852569,8852569,9196823,9196823,,
GRAND TOTAL,State Aid,711871,711871,733227,733227,,
GRAND TOTAL,Local Receipts,1478687,1478687,1517964,1662332.00,,
